Topic: 0
bowling : 0.270519428129
place : 0.157818189353
good : 0.113525250436
shoes : 0.112459547517
fun : 0.102244850395
lanes : 0.0905659664416
alley : 0.0765760059136
nice : 0.031927640051
like : 0.0234746024027
time : 0.0208885193611
Topic: 1
like : 0.240917281304
nice : 0.176077099771
alley : 0.125472543646
lanes : 0.121457074782
bowling : 0.0976082078726
place : 0.0865535890649
fun : 0.0834134486812
time : 0.0234188142623
shoes : 0.0227887296549
good : 0.0222932109606
Topic: 2
like : 0.275467948577
bowling : 0.267628050245
fun : 0.124661815388
alley : 0.116352458893
time : 0.0796360136174
lanes : 0.0300879081721
nice : 0.027040374782
place : 0.02652753554
shoes : 0.0265015980931
good : 0.0260962966929
Topic: 3
bowling : 0.330833807889
time : 0.129554541693
nice : 0.118899117335
alley : 0.116051833417
shoes : 0.101107032552
lanes : 0.0635877518194
place : 0.048402438655
good : 0.0481182810352
like : 0.0265626405551
fun : 0.0168825550483
Topic: 4
lanes : 0.46411494743
time : 0.18138989771
bowling : 0.0912487814739
nice : 0.0842015771807
good : 0.050930059914
fun : 0.0507575666363
alley : 0.0309972898086
place : 0.015550815154
shoes : 0.015466368021
like : 0.0153426966708
