Topic: 0
good : 0.239244073048
mexican : 0.218857053581
really : 0.0852059278999
great : 0.0819468722993
place : 0.081741806354
chips : 0.0807438835194
enchiladas : 0.078557039142
service : 0.0591295577803
restaurant : 0.0374897656957
food : 0.0370840206807
Topic: 1
restaurant : 0.23830553075
enchiladas : 0.229935760218
really : 0.115417354416
great : 0.085251299562
good : 0.0775060208395
chips : 0.0713686734972
food : 0.0698548387702
mexican : 0.0647993598185
service : 0.0248490639478
place : 0.0227120981809
Topic: 2
food : 0.202854877932
place : 0.192893244276
good : 0.141455299099
mexican : 0.135696746317
chips : 0.0932256943568
great : 0.0670900887957
enchiladas : 0.0464346900641
really : 0.0455663349635
service : 0.0422348316564
restaurant : 0.032548192539
Topic: 3
great : 0.162877198341
service : 0.155466142892
mexican : 0.113911282414
food : 0.110395898129
enchiladas : 0.100713209449
place : 0.0888128178041
restaurant : 0.0786442772056
good : 0.0741291747176
really : 0.0613864364359
chips : 0.053663562612
Topic: 4
service : 0.239960209449
food : 0.190936251028
restaurant : 0.161980507087
great : 0.132671094809
really : 0.0692094557111
chips : 0.0674089763323
good : 0.0536925119447
enchiladas : 0.0487306798361
mexican : 0.0247018975147
place : 0.0107084162886
