Topic: 0
foods : 0.253309056045
store : 0.152790427853
good : 0.142079630514
like : 0.135992378927
salty : 0.0535007963703
sweet : 0.0528194062802
grocery : 0.0528082607823
regular : 0.0522954718257
30 : 0.0522435187389
thing : 0.0521610526634
Topic: 1
like : 0.537398034581
good : 0.0529912763753
salty : 0.0522147751434
foods : 0.0514993054826
sweet : 0.0512258444557
grocery : 0.0511368438182
regular : 0.0509920002522
store : 0.050895159915
30 : 0.0508465259725
thing : 0.0508002340044
Topic: 2
30 : 0.142988061196
regular : 0.142822454709
foods : 0.128562888308
grocery : 0.128560965353
store : 0.12842926292
good : 0.100609679629
like : 0.0943150171237
thing : 0.0748765642908
salty : 0.0297080271814
sweet : 0.029127079289
Topic: 3
good : 0.354896535083
sweet : 0.178870102692
grocery : 0.160848798161
like : 0.0466455761406
salty : 0.0436639007978
foods : 0.0432560126564
store : 0.0431601370572
regular : 0.0429488868711
thing : 0.0429078177533
30 : 0.0428022327877
Topic: 4
salty : 0.326195929463
like : 0.166980678842
sweet : 0.130451836937
thing : 0.129964226566
good : 0.0421870875683
grocery : 0.0411785909589
foods : 0.041099134772
store : 0.0406815049428
30 : 0.0406621686098
regular : 0.0405988413412
