Topic: 0
good : 0.261291662127
place : 0.154564292318
mexican : 0.112742745086
service : 0.106592313926
food : 0.0964170369288
salsa : 0.076863798493
chicken : 0.0618684675302
al : 0.0441460402494
ajo : 0.0433093543681
pollo : 0.0422042889734
Topic: 1
ajo : 0.260903345066
pollo : 0.219453093973
mexican : 0.182612633044
place : 0.0505436437926
salsa : 0.0491206695938
service : 0.0489392763711
good : 0.0482101544585
chicken : 0.047235712811
food : 0.0469436506815
al : 0.0460378202093
Topic: 2
pollo : 0.23048669376
salsa : 0.164814774103
al : 0.143116562761
ajo : 0.136570416913
chicken : 0.090240440887
good : 0.0683284114143
place : 0.0567996644428
mexican : 0.0544797797074
service : 0.0415299253853
food : 0.0136333306268
Topic: 3
food : 0.231709350858
service : 0.210279276313
salsa : 0.130129812005
good : 0.129755158674
mexican : 0.113487373792
al : 0.0631574459441
ajo : 0.0614009955844
pollo : 0.020444430928
place : 0.0202223340071
chicken : 0.0194138218953
Topic: 4
mexican : 0.301300600009
place : 0.283231777781
chicken : 0.133360394539
service : 0.11806716908
good : 0.0563758087678
pollo : 0.0225406104746
salsa : 0.0217390650826
ajo : 0.0213822608979
food : 0.0211629918936
al : 0.0208393214746
