Topic: 0
nique : 0.219946423625
assistant : 0.190615922135
matthew : 0.120078367922
did : 0.10614986061
liked : 0.101871906883
hair : 0.0793302771396
service : 0.072720801546
just : 0.0626335451566
salon : 0.0233961825226
like : 0.0232567124591
Topic: 1
just : 0.286458508813
hair : 0.232591496252
assistant : 0.0610753316067
service : 0.0606572175145
matthew : 0.0604444440808
nique : 0.0599245540224
salon : 0.0599102826247
like : 0.0598160956279
liked : 0.0596562736121
did : 0.0594657958458
Topic: 2
like : 0.237037039361
salon : 0.236398946664
matthew : 0.129553182186
hair : 0.0582627747416
service : 0.0571106189154
assistant : 0.0569898407651
just : 0.0566298794908
nique : 0.0564913297428
did : 0.0557708290677
liked : 0.0557555590657
Topic: 3
service : 0.184213522126
hair : 0.161077367129
did : 0.117855037847
just : 0.109931179413
salon : 0.109750804191
like : 0.109448409481
liked : 0.109414862325
assistant : 0.0330122263852
matthew : 0.0327052496443
nique : 0.0325913414584
Topic: 4
hair : 0.283128585481
assistant : 0.229334602401
matthew : 0.14728692161
salon : 0.078894693607
liked : 0.0753964679705
like : 0.0750795038368
just : 0.0279052078872
service : 0.0278273049219
nique : 0.027640021369
did : 0.0275066909158
