Topic: 0
just : 0.377189606142
pizza : 0.0719823613368
food : 0.0717601140607
place : 0.0706245265011
service : 0.0700904088264
took : 0.0683312820319
ordered : 0.067639550241
got : 0.0675359664937
order : 0.067510655725
don : 0.0673355286414
Topic: 1
service : 0.242421957098
food : 0.152815748392
don : 0.120297073615
just : 0.112439111983
order : 0.111307880747
place : 0.110023001741
pizza : 0.0397756016518
took : 0.0374211316401
ordered : 0.037158856497
got : 0.0363396366367
Topic: 2
pizza : 0.250611756862
place : 0.207717255787
food : 0.144404809725
service : 0.118553978003
don : 0.10762062005
ordered : 0.0875788475895
took : 0.0317207235622
just : 0.0273077063871
order : 0.0122521297715
got : 0.0122321722625
Topic: 3
order : 0.230796091221
took : 0.205174449492
food : 0.147884455791
pizza : 0.0988095561471
service : 0.0784446909904
place : 0.0742987084329
got : 0.0649647378983
ordered : 0.0626874530317
just : 0.0186705106558
don : 0.0182693463394
Topic: 4
got : 0.221992811578
just : 0.209616962982
ordered : 0.134451153647
pizza : 0.109458869661
order : 0.0910519963072
don : 0.0855994519745
took : 0.0661286918625
place : 0.0415459616978
food : 0.0207772127494
service : 0.0193768875401
