Topic: 0
room : 0.414608675763
hotel : 0.228027719298
place : 0.174195414708
resort : 0.0746822483933
park : 0.0341095384635
stay : 0.0157037109476
water : 0.01548291459
day : 0.0146750746524
time : 0.0145345492158
service : 0.0139801539691
Topic: 1
stay : 0.265123530619
water : 0.218857617139
day : 0.186692116076
park : 0.0699032864693
resort : 0.0664744770977
time : 0.0625229871834
hotel : 0.0461842951706
room : 0.0325814493658
place : 0.0286143545329
service : 0.0230458863465
Topic: 2
time : 0.306216787319
day : 0.191633584337
place : 0.167136808644
water : 0.0995781214404
resort : 0.0937434341453
room : 0.0477996559288
service : 0.0357894029016
park : 0.0323424552142
stay : 0.013332509315
hotel : 0.0124272407548
Topic: 3
room : 0.373699298803
stay : 0.149370235525
service : 0.102002662823
water : 0.0874546942635
park : 0.0832028448114
place : 0.0727251951833
hotel : 0.050783185643
time : 0.050329156513
day : 0.0153978169675
resort : 0.0150349094668
Topic: 4
park : 0.222227430031
water : 0.198414771527
service : 0.168392106905
hotel : 0.105080007752
resort : 0.0994522479033
room : 0.0742936315745
place : 0.0415078567499
stay : 0.039477088548
day : 0.0313064002492
time : 0.0198484587597
