Topic: 0
time : 0.25703852021
like : 0.155971771788
bar : 0.137956005679
people : 0.126024878546
place : 0.101106415875
really : 0.0844870690425
cool : 0.0731647644392
beauty : 0.0434413876905
music : 0.0109971533036
good : 0.00981203342658
Topic: 1
bar : 0.209616118197
time : 0.185062172742
beauty : 0.184163973082
music : 0.103362280228
cool : 0.090315546005
like : 0.0823958160736
good : 0.0633113941664
place : 0.0463190779281
really : 0.0179136118164
people : 0.0175400097603
Topic: 2
good : 0.267452288539
like : 0.130607288426
time : 0.125344945807
really : 0.106648590718
people : 0.101865190248
music : 0.0900300433169
bar : 0.0593270334664
cool : 0.047553641346
place : 0.0383436185104
beauty : 0.0328273596224
Topic: 3
bar : 0.27688523537
beauty : 0.197264873896
really : 0.162263465429
cool : 0.0900024271359
like : 0.0662426248294
place : 0.0602519218657
people : 0.054244679493
music : 0.0474504063374
time : 0.0296996729742
good : 0.0156946926692
Topic: 4
music : 0.215261006977
place : 0.167053941725
beauty : 0.111704825012
like : 0.106410045442
bar : 0.0988430559571
cool : 0.0973536164789
people : 0.0797313740857
good : 0.0662315455917
really : 0.0289508683005
time : 0.02845972043
