Topic: 0
good : 0.284726953298
food : 0.182974975295
service : 0.137543434541
italian : 0.126443145921
place : 0.0994585043679
biaggi : 0.0620087029485
great : 0.0586865294185
pasta : 0.0161673879627
bread : 0.0160441548367
bad : 0.0159462114104
Topic: 1
great : 0.206637125108
food : 0.198154169317
italian : 0.137462103187
bad : 0.111077437922
good : 0.105797930457
service : 0.0832678228129
bread : 0.0648946371787
biaggi : 0.051311189588
place : 0.0212608065319
pasta : 0.0201367778975
Topic: 2
place : 0.209525531807
good : 0.205551472552
bread : 0.179646859984
bad : 0.129310216887
food : 0.127247588715
great : 0.0690491978025
biaggi : 0.0201651695015
service : 0.0201607473537
pasta : 0.019837618604
italian : 0.0195055967939
Topic: 3
biaggi : 0.258574015221
pasta : 0.189243312215
food : 0.134612741299
good : 0.133805756127
bad : 0.108022504654
service : 0.0665008160297
bread : 0.056611265895
place : 0.0187058123139
great : 0.0170535223424
italian : 0.0168702539026
Topic: 4
place : 0.332727959004
service : 0.182436430807
pasta : 0.142145930292
bread : 0.137213061173
food : 0.0366268947211
good : 0.0364753337825
biaggi : 0.0345790421864
bad : 0.0331541999403
great : 0.0326351042653
italian : 0.0320060438272
