Topic: 0
buffalo : 0.337134347752
great : 0.201465257605
place : 0.151381399125
like : 0.102732157608
clothes : 0.089597605828
items : 0.0242225918979
try : 0.0237941848618
good : 0.0237394925085
store : 0.0234780437044
things : 0.0224549191092
Topic: 1
good : 0.23969424124
great : 0.194001174503
clothes : 0.166786168261
buffalo : 0.107447889986
place : 0.0862511756989
like : 0.0801979575445
try : 0.0592092083342
items : 0.0351517736015
store : 0.0158586022198
things : 0.0154018086115
Topic: 2
like : 0.194291639407
things : 0.171181568451
store : 0.127436492327
clothes : 0.121248108353
items : 0.11363575827
buffalo : 0.0935897618847
try : 0.0762999972415
place : 0.040441234876
good : 0.0385350280759
great : 0.0233404111144
Topic: 3
store : 0.241143506984
clothes : 0.203054787791
like : 0.133567184078
place : 0.1037991145
try : 0.087822962328
items : 0.0563842124907
things : 0.0557334129861
good : 0.0399519897099
great : 0.0398152014838
buffalo : 0.0387276276487
Topic: 4
items : 0.254408093099
try : 0.199376326725
good : 0.150906279698
store : 0.10658633088
place : 0.0859006369455
things : 0.0828704870906
buffalo : 0.0567240777893
clothes : 0.0213268323479
great : 0.0210049023319
like : 0.020896033093
