Topic: 0
good : 0.229665026566
wanted : 0.181056774848
restaurant : 0.126905183873
service : 0.105952793216
chinese : 0.0872113662329
just : 0.0735625374136
place : 0.0650832355535
customer : 0.0637478549771
ordered : 0.0342758189457
like : 0.0325394083737
Topic: 1
place : 0.227619128868
just : 0.146271292331
wanted : 0.121089792134
customer : 0.0979416077168
like : 0.0904983477947
service : 0.0889153352327
ordered : 0.0867118145262
chinese : 0.0858091095437
good : 0.0276548469225
restaurant : 0.0274887249301
Topic: 2
like : 0.215771487196
wanted : 0.198688968521
just : 0.19564113551
service : 0.0570408646922
place : 0.0562094769242
customer : 0.0560701254116
good : 0.0555400027339
restaurant : 0.0553515118669
ordered : 0.0550858948956
chinese : 0.0546005322493
Topic: 3
service : 0.234193766695
ordered : 0.193074288685
customer : 0.167990105772
restaurant : 0.116314279462
place : 0.101624220295
good : 0.0461669911289
like : 0.0446464167483
wanted : 0.0325456989958
chinese : 0.0319236389132
just : 0.031520593304
Topic: 4
restaurant : 0.188044731716
customer : 0.17901743872
ordered : 0.113880649563
chinese : 0.112531900096
service : 0.106444659287
place : 0.105121444691
wanted : 0.0515142716582
good : 0.0485167710187
just : 0.0476674291679
like : 0.0472607040822
