Topic: 0
egg : 0.381707419086
good : 0.0719967630126
chinese : 0.0702450285415
definitely : 0.0691911522181
place : 0.069033605561
lunch : 0.068216538403
really : 0.0679438716951
best : 0.0679357788021
service : 0.066929080069
happy : 0.0668007626111
Topic: 1
good : 0.25844370017
definitely : 0.188177314607
really : 0.158855461108
chinese : 0.137956450052
egg : 0.117753861412
place : 0.0657048911418
lunch : 0.0188228906889
happy : 0.0181702615795
best : 0.0180778886952
service : 0.0180372805454
Topic: 2
happy : 0.19656967991
lunch : 0.180916233665
good : 0.137669900724
chinese : 0.131671459226
really : 0.0929886194144
place : 0.0923323587835
service : 0.0685785680198
definitely : 0.0557967409941
egg : 0.0218738800835
best : 0.0216025591802
Topic: 3
service : 0.240114465894
best : 0.157751382922
chinese : 0.135101977198
good : 0.111288838919
lunch : 0.0945429014208
egg : 0.0941693368637
happy : 0.0842563798229
really : 0.0276315336734
place : 0.0275750732245
definitely : 0.0275681100608
Topic: 4
place : 0.206521709932
best : 0.174718586561
definitely : 0.122851768162
chinese : 0.122022718706
lunch : 0.113072813049
really : 0.0860616409656
egg : 0.0593890374489
happy : 0.0521945763523
good : 0.0441763446016
service : 0.0189908042207
