Topic: 0
eat : 0.171713926097
restaurant : 0.162689638621
menu : 0.14741442007
wife : 0.144388703768
said : 0.144224124708
good : 0.0955393207033
nice : 0.0629477628253
yes : 0.0247069534539
place : 0.023665503447
patio : 0.0227096463066
Topic: 1
patio : 0.27926073163
place : 0.239320559159
yes : 0.0637610556512
good : 0.0609620403294
nice : 0.0601099439857
menu : 0.0595742049098
eat : 0.0593592365634
wife : 0.0593403311349
said : 0.0592318102613
restaurant : 0.0590800863753
Topic: 2
good : 0.302075644051
yes : 0.206984805012
menu : 0.14224420825
place : 0.132397015922
nice : 0.0369365024212
restaurant : 0.0360937092408
said : 0.0358671423684
wife : 0.0358187803389
patio : 0.0358157225714
eat : 0.0357664698245
Topic: 3
place : 0.386657261071
yes : 0.0734057759955
good : 0.068881249741
nice : 0.0682326886683
menu : 0.0677503257904
said : 0.0673273118487
eat : 0.067052571694
patio : 0.0670030544633
restaurant : 0.0669627974859
wife : 0.0667269632416
Topic: 4
yes : 0.31029995021
nice : 0.211657654166
place : 0.146189828573
patio : 0.0770390540511
good : 0.0689637427423
eat : 0.0678224152869
menu : 0.0298032544216
restaurant : 0.0294708701265
wife : 0.0293951121151
said : 0.0293581183074
