Topic: 0
food : 0.173874616615
stars : 0.169213641607
place : 0.143941704827
chinese : 0.143623824989
price : 0.138175941513
rice : 0.0857211051707
just : 0.0811023112899
want : 0.0217000148005
lunch : 0.0214979537182
order : 0.0211488854705
Topic: 1
rice : 0.215088926161
lunch : 0.20232749012
want : 0.160903398436
stars : 0.101161934446
order : 0.0998733241757
food : 0.0841553179431
place : 0.034842430462
chinese : 0.0342884529055
price : 0.0340183463336
just : 0.0333403790169
Topic: 2
food : 0.244625700387
price : 0.222701539363
chinese : 0.136170396829
just : 0.106134673893
lunch : 0.0869663757554
order : 0.0821628276512
stars : 0.0308467350814
place : 0.0306876050057
want : 0.0299880725092
rice : 0.0297160735257
Topic: 3
place : 0.35240270346
want : 0.208516599404
lunch : 0.108162357925
chinese : 0.10761159793
food : 0.0384630817364
stars : 0.0383395481313
price : 0.0372027068915
order : 0.0367262766754
rice : 0.0364404979085
just : 0.0361346299374
Topic: 4
order : 0.23425036059
food : 0.159228715409
lunch : 0.131438634025
stars : 0.129663229684
place : 0.0778586479076
chinese : 0.0774350704779
just : 0.0560903793042
rice : 0.0537269424984
want : 0.0536338409492
price : 0.0266741791552
