Topic: 0
service : 0.179600508295
food : 0.156864369226
place : 0.10185716222
order : 0.101017760424
problem : 0.100522745017
soup : 0.100483140222
really : 0.100385596821
sauce : 0.0923213421219
packets : 0.0337787776432
actually : 0.0331685980095
Topic: 1
place : 0.210653368952
food : 0.193995995463
problem : 0.142431523362
actually : 0.142356186022
sauce : 0.0532126850424
packets : 0.0526350682116
order : 0.0515334148138
service : 0.0512122182631
soup : 0.0510893507191
really : 0.0508801891509
Topic: 2
food : 0.287457560577
place : 0.170340797375
really : 0.114433995484
actually : 0.113932939676
soup : 0.113772708913
sauce : 0.0409919130055
packets : 0.0402127751486
order : 0.0398512462326
service : 0.0395304125455
problem : 0.0394756510432
Topic: 3
sauce : 0.102322847773
food : 0.10183072326
packets : 0.10130793706
place : 0.101174063664
order : 0.0999987547289
service : 0.0989824675227
actually : 0.0988664996321
soup : 0.0987582896351
really : 0.0983981942446
problem : 0.0983602224799
Topic: 4
sauce : 0.315549328593
packets : 0.282532196521
order : 0.154515371131
food : 0.0364770797014
place : 0.0356702697296
service : 0.035217907678
soup : 0.0351247349258
actually : 0.0350747221157
problem : 0.0349261152952
really : 0.0349122743094
