Topic: 0
money : 0.185870768728
people : 0.182377624423
did : 0.170932292796
story : 0.112383962293
line : 0.112357824978
cirque : 0.0999576028467
just : 0.0344647881134
like : 0.0344643974975
time : 0.0337303501669
baby : 0.033460388157
Topic: 1
cirque : 0.423670680953
money : 0.166468506883
like : 0.152613117459
just : 0.0662897364515
time : 0.0575512960884
story : 0.0548239714833
line : 0.0344786865508
people : 0.0148397040005
baby : 0.0146888795424
did : 0.0145754205881
Topic: 2
just : 0.237769826633
people : 0.149662697036
baby : 0.134661228171
money : 0.125357454001
line : 0.112515030111
story : 0.112188883169
like : 0.0757346979267
cirque : 0.0187210087817
time : 0.0169014613915
did : 0.0164877127786
Topic: 3
baby : 0.223640786569
just : 0.182856633989
like : 0.167999065788
cirque : 0.121251482537
did : 0.105565045511
people : 0.0704477283158
time : 0.0471673978644
money : 0.0284252320928
line : 0.0264266003884
story : 0.0262200269445
Topic: 4
time : 0.344377653527
just : 0.122130198892
line : 0.111081497036
did : 0.0934023387549
story : 0.0857429877874
like : 0.0815425017388
baby : 0.0788682568336
cirque : 0.0288205762546
money : 0.0276205420874
people : 0.0264134470882
