Topic: 0
really : 0.349165200497
just : 0.240754500255
water : 0.122345311564
cirque : 0.061649268907
like : 0.0550111519495
shows : 0.0469126147757
vegas : 0.0375379432168
stage : 0.0362023108061
ka : 0.026477248325
seen : 0.023944449704
Topic: 1
stage : 0.275452947959
ka : 0.210856652239
water : 0.118117464175
cirque : 0.112910971069
shows : 0.0706221018527
seen : 0.049013366858
vegas : 0.0482575783176
like : 0.0448463173291
really : 0.0435999643601
just : 0.0263226358406
Topic: 2
cirque : 0.269034239732
seen : 0.120390343658
stage : 0.114743364122
like : 0.0959544213335
just : 0.0815341052387
really : 0.0761874016675
ka : 0.0746610069668
shows : 0.0718592314756
water : 0.0519690228934
vegas : 0.0436668629117
Topic: 3
cirque : 0.268085498289
shows : 0.218856557675
like : 0.123229686399
ka : 0.0962153140937
just : 0.08560270791
stage : 0.0828991402328
really : 0.0682286016395
vegas : 0.024566176338
water : 0.0243342515375
seen : 0.00798206588532
Topic: 4
seen : 0.173927781387
vegas : 0.170345640302
shows : 0.136203588012
like : 0.12737665253
cirque : 0.11723913987
water : 0.101579738789
just : 0.0658290710696
really : 0.0454995046053
stage : 0.0417699995435
ka : 0.0202288838916
