Topic: 0
good : 0.258360881477
brunch : 0.237265054428
place : 0.124726884568
beer : 0.0818225846926
drink : 0.0567603367739
essen : 0.0564499064601
breakfast : 0.0552486214288
come : 0.0540842116303
great : 0.0529844980107
food : 0.0222970205305
Topic: 1
come : 0.209267268985
breakfast : 0.191666507015
essen : 0.12518830841
brunch : 0.0782907862705
great : 0.0776164349122
drink : 0.0732392204192
place : 0.0717236523371
food : 0.0669563573129
good : 0.0563700336874
beer : 0.0496814306507
Topic: 2
place : 0.242582596314
drink : 0.192473812429
beer : 0.148772138597
food : 0.0999259859702
essen : 0.0832239275546
come : 0.0823110973617
great : 0.0742621324679
breakfast : 0.0266601652541
brunch : 0.0251104001094
good : 0.0246777439417
Topic: 3
come : 0.191427379797
brunch : 0.170916108284
great : 0.166821547453
food : 0.151896074257
good : 0.13156891088
drink : 0.0639118810114
place : 0.0625978594654
breakfast : 0.0388449681112
beer : 0.0111536930785
essen : 0.010861577662
Topic: 4
breakfast : 0.203743012746
beer : 0.177520618402
great : 0.164849392981
food : 0.106466488039
essen : 0.0832119694382
place : 0.0623132688536
drink : 0.0531507198007
good : 0.0526661923621
brunch : 0.0500283327618
come : 0.0460500046158
