Topic: 0
good : 0.439884852298
like : 0.103490440375
meal : 0.0956364537304
coronado : 0.0852957592703
food : 0.0791967546281
place : 0.0599086395307
sauce : 0.0397205151369
menu : 0.0396233401876
got : 0.0381852381015
just : 0.0190580067412
Topic: 1
food : 0.284560101523
just : 0.233742446789
sauce : 0.148140837148
place : 0.112827917338
menu : 0.0557960969807
got : 0.0481606640211
meal : 0.0465855860053
coronado : 0.0427321735894
good : 0.01424376276
like : 0.0132104138453
Topic: 2
got : 0.316276187513
food : 0.14824599742
like : 0.14801592823
coronado : 0.103139000621
good : 0.0962671607073
meal : 0.0659247612589
sauce : 0.0652284359019
place : 0.0192323175898
just : 0.0190983477295
menu : 0.0185718630289
Topic: 3
meal : 0.242529718817
place : 0.219952634388
like : 0.190746613847
coronado : 0.159172999516
menu : 0.0530656961283
just : 0.0520464872448
food : 0.0214722800853
good : 0.0209471780278
sauce : 0.0202855935375
got : 0.0197807984085
Topic: 4
menu : 0.240138745377
coronado : 0.195005356551
food : 0.122610077229
sauce : 0.0958603523056
got : 0.0901532080967
like : 0.0870204215237
place : 0.0623028614784
just : 0.061566305533
good : 0.022732645517
meal : 0.0226100263882
