Topic: 0
vietnamese : 0.311727690216
place : 0.198831334164
da : 0.109265108272
vang : 0.109003913895
just : 0.0731786058604
like : 0.068460532261
food : 0.0556908668047
pho : 0.0355904496948
didn : 0.0196021161296
order : 0.0186493827024
Topic: 1
pho : 0.227838334169
food : 0.223081731761
place : 0.159561892702
just : 0.0714821339478
vietnamese : 0.0671713172398
didn : 0.0639782002411
like : 0.0579288484432
vang : 0.0521986710798
da : 0.0516363505825
order : 0.0251225198342
Topic: 2
like : 0.310107282292
pho : 0.152478378104
vietnamese : 0.127034206999
food : 0.11845883937
just : 0.076549016322
order : 0.05097351142
place : 0.0435106245843
vang : 0.0411279761477
da : 0.0406571587674
didn : 0.0391030059931
Topic: 3
didn : 0.239095610512
pho : 0.164786880033
like : 0.123215231356
da : 0.0975974840284
vang : 0.0972006529744
order : 0.0877959079724
just : 0.0726233989346
food : 0.0532441731234
place : 0.0481166075011
vietnamese : 0.0163240535645
Topic: 4
food : 0.194635714275
just : 0.162034015992
order : 0.135199678635
didn : 0.103863986367
place : 0.0917475496165
da : 0.0898956501269
vang : 0.0894928289604
pho : 0.0782144659588
like : 0.0436384938125
vietnamese : 0.0112776162565
