Topic: 0
like : 0.192992464432
deli : 0.191849563774
place : 0.19071939004
good : 0.0895371767807
italian : 0.0793701291493
best : 0.072317652745
sandwich : 0.0610097011031
defalco : 0.0446844339825
food : 0.0392522812939
great : 0.0382672066985
Topic: 1
place : 0.287251899623
food : 0.211379673178
sandwich : 0.162086548039
great : 0.0818178086173
defalco : 0.0609545350181
italian : 0.0520518163217
deli : 0.0423158275554
like : 0.0402464079915
best : 0.0360842840017
good : 0.025811199654
Topic: 2
best : 0.267525870014
italian : 0.181405976864
sandwich : 0.115729789088
deli : 0.0969282065809
defalco : 0.0747900368583
great : 0.0686327549109
good : 0.0619943933176
place : 0.0579288525493
like : 0.0494716220008
food : 0.0255924978161
Topic: 3
great : 0.237828867742
defalco : 0.206918890522
food : 0.181837867608
deli : 0.0903835264276
italian : 0.0901144535413
sandwich : 0.075352631939
like : 0.0402960984712
good : 0.0352539611728
place : 0.021128538179
best : 0.020885164397
Topic: 4
good : 0.268626298563
defalco : 0.140498808838
italian : 0.13765873183
food : 0.0911434091311
like : 0.0881058928551
great : 0.0851058116423
sandwich : 0.081155557825
place : 0.0561748424146
best : 0.0321095619892
deli : 0.019421084911
