Topic: 0
club : 0.241415719098
hours : 0.173145791541
time : 0.137905619315
night : 0.12679658998
drai : 0.077572890639
music : 0.0667094108664
vegas : 0.0618207273907
like : 0.0468776250859
place : 0.0423014303794
drais : 0.0254541957038
Topic: 1
like : 0.220250915816
music : 0.176724644643
vegas : 0.123966969042
drais : 0.120399581832
place : 0.0903313594888
time : 0.0842911809543
drai : 0.0700550330412
hours : 0.0550696193358
night : 0.0366662198682
club : 0.0222444759779
Topic: 2
hours : 0.16346980598
place : 0.141602500455
drais : 0.135086716664
night : 0.113288550924
like : 0.0984432132317
time : 0.0968584118597
drai : 0.0922364404997
vegas : 0.0755550971258
music : 0.0641220727772
club : 0.0193371904822
Topic: 3
vegas : 0.295429106134
drais : 0.169701580968
time : 0.105550559533
music : 0.104345964423
club : 0.0998954684589
drai : 0.0813017371991
hours : 0.0471128635158
place : 0.047008020097
night : 0.0387128417502
like : 0.0109418579218
Topic: 4
place : 0.228174307171
drai : 0.20332592386
night : 0.174181500409
like : 0.0958748056732
vegas : 0.0903291079527
drais : 0.0727418194064
club : 0.0538598288066
hours : 0.0378225096522
music : 0.022248790847
time : 0.0214414062223
