Topic: 0
view : 0.177244684354
food : 0.145803205194
service : 0.117322078747
great : 0.115041125888
elements : 0.0922490462301
like : 0.0894902974597
place : 0.088541977849
just : 0.0820504554165
table : 0.0490185268802
good : 0.0432386019807
Topic: 1
elements : 0.210008115698
table : 0.195375121815
like : 0.160071619332
good : 0.10545797578
great : 0.0950114019251
service : 0.0729111293386
place : 0.0606166658545
just : 0.0570467252625
food : 0.0281462163869
view : 0.0153550286078
Topic: 2
food : 0.240258200832
good : 0.226134034544
service : 0.216464382903
table : 0.122649728496
elements : 0.0566831801298
like : 0.0539640778951
just : 0.0217675126672
great : 0.0209760809835
view : 0.0208031433606
place : 0.0202996581891
Topic: 3
good : 0.191757048192
just : 0.165530378914
place : 0.158685651858
food : 0.114689222534
like : 0.113608496768
view : 0.0822841693318
elements : 0.0822093173446
service : 0.0611327014287
great : 0.0155125710811
table : 0.0145904425491
Topic: 4
food : 0.247242130304
just : 0.203874575838
service : 0.135970668392
great : 0.126424444029
view : 0.0791784830211
good : 0.0674637367131
place : 0.0655836404076
like : 0.028205124343
table : 0.0241591593666
elements : 0.0218980375858
