Topic: 0
just : 0.198315121916
place : 0.197395402386
good : 0.184509659755
ordered : 0.104656822935
bar : 0.0840526371714
service : 0.0809300512633
food : 0.0722680841889
menu : 0.0600211710089
like : 0.00904255659592
drinks : 0.00880849277951
Topic: 1
drinks : 0.195384987608
food : 0.172244707495
menu : 0.143961963754
good : 0.12574651656
place : 0.0919970762676
like : 0.0852167219298
just : 0.0754225340185
service : 0.0486155162758
bar : 0.041264925328
ordered : 0.0201450507628
Topic: 2
good : 0.26787677337
bar : 0.242086782792
ordered : 0.1692095003
food : 0.100169209014
drinks : 0.0754718777069
just : 0.0566182427655
place : 0.0394235727175
menu : 0.0289763040644
service : 0.0101941181478
like : 0.00997361912157
Topic: 3
food : 0.249414967244
service : 0.223820111977
bar : 0.160106907684
like : 0.113864482239
place : 0.0757418215763
good : 0.0656103220369
drinks : 0.0621451390313
ordered : 0.0329247158757
menu : 0.011947044838
just : 0.00442448749794
Topic: 4
menu : 0.205238886203
good : 0.205226284749
like : 0.174756024846
food : 0.115012574139
service : 0.0979527258415
place : 0.0799481352292
bar : 0.0377253249785
just : 0.0329822478992
drinks : 0.0268735118453
ordered : 0.02428428427
