Topic: 0
good : 0.191809206486
like : 0.187340084689
vegas : 0.177617925752
great : 0.111550190376
food : 0.0854004978379
place : 0.0797090899312
steak : 0.0778627448181
ellis : 0.0502368092671
beer : 0.0250081104113
99 : 0.0134653404322
Topic: 1
good : 0.233368312424
place : 0.187824280522
beer : 0.150421724323
great : 0.146023116722
steak : 0.0825802822951
99 : 0.0694387054851
vegas : 0.0489143852153
ellis : 0.0433595470183
food : 0.0347750987771
like : 0.00329454721804
Topic: 2
steak : 0.251525167017
place : 0.204121062097
beer : 0.195178414044
great : 0.0952796628154
good : 0.062275630689
food : 0.0548617230472
like : 0.0400961979347
vegas : 0.039804524089
99 : 0.0301129540906
ellis : 0.0267446641763
Topic: 3
ellis : 0.252101999115
99 : 0.176084269468
steak : 0.142405187373
beer : 0.124223192167
like : 0.0816016472015
vegas : 0.0700783057072
good : 0.0645961877452
place : 0.0413002580903
great : 0.0249263999025
food : 0.0226825532299
Topic: 4
food : 0.275711834155
vegas : 0.19043701653
99 : 0.135690296789
steak : 0.135009104738
good : 0.0893577189772
place : 0.0647137420462
ellis : 0.043993714913
like : 0.0392209171809
beer : 0.0136963217944
great : 0.0121693328769
