Topic: 0
make : 0.217720553153
dog : 0.203722384669
car : 0.193278841735
good : 0.0563453669523
99 : 0.0560884020504
guy : 0.0551117146202
looked : 0.0545989768023
did : 0.0545750311856
poop : 0.054388040738
hazard : 0.054170688094
Topic: 1
99 : 0.246817639065
car : 0.192578524807
did : 0.183762129356
guy : 0.164283470617
good : 0.0360468264012
make : 0.0354524665612
dog : 0.0354090698633
poop : 0.0354010294194
looked : 0.0351773651554
hazard : 0.0350714787528
Topic: 2
make : 0.173307760226
guy : 0.16823099482
car : 0.152663644199
looked : 0.144152738146
did : 0.107752620019
poop : 0.0750018096007
dog : 0.0714004615257
good : 0.036174339427
99 : 0.0361121909563
hazard : 0.0352034410803
Topic: 3
good : 0.291333887883
car : 0.229909601418
hazard : 0.109740054931
poop : 0.101033860089
dog : 0.0948885481206
99 : 0.0639863879256
guy : 0.0274904519795
did : 0.0273671373438
make : 0.0271308741855
looked : 0.0271191961232
Topic: 4
looked : 0.156170841905
hazard : 0.136899347108
poop : 0.126081486702
dog : 0.117147324254
did : 0.103631403983
guy : 0.0973978862054
good : 0.0792872135741
99 : 0.0791379616907
make : 0.0786167089741
car : 0.0256298256021
