Topic: 0
burrito : 0.30079158976
carne : 0.187835907807
asada : 0.187735607843
fiesta : 0.120111826921
great : 0.0651368372014
mexican : 0.0529926105081
food : 0.0354737753371
burritos : 0.0284565046619
place : 0.0110385057974
good : 0.0104268341627
Topic: 1
burrito : 0.368906357559
good : 0.158159412708
food : 0.119474397506
place : 0.114672266308
great : 0.0721757982149
burritos : 0.0674470904141
fiesta : 0.0489892078884
mexican : 0.0332764890429
asada : 0.00854551616245
carne : 0.00835346419609
Topic: 2
fiesta : 0.233860417147
burrito : 0.212564258861
burritos : 0.152632651078
great : 0.143708193362
place : 0.0752865903394
food : 0.0674853610107
asada : 0.0360286995674
carne : 0.0360063809331
good : 0.0216119133958
mexican : 0.0208155343057
Topic: 3
mexican : 0.280851778118
food : 0.131566024536
burrito : 0.112987270283
good : 0.112209205635
place : 0.100866481818
carne : 0.0799760467239
asada : 0.0795483700194
fiesta : 0.0409960869857
great : 0.0341610484993
burritos : 0.0268376873833
Topic: 4
food : 0.250426478401
place : 0.184898116492
mexican : 0.162082892869
great : 0.117619756424
good : 0.107517714632
burritos : 0.0542082117205
asada : 0.0422413824259
carne : 0.0420902358558
burrito : 0.0322760511695
fiesta : 0.0066391600109
