Topic: 0
drive : 0.199439987588
experience : 0.169435933352
gti : 0.168282760103
new : 0.105769147264
department : 0.0919380681011
vw : 0.0860945456964
car : 0.046761519609
service : 0.0445380254188
oil : 0.0440553831356
jetta : 0.0436846297322
Topic: 1
car : 0.407894508343
gti : 0.132470278066
service : 0.112473346663
department : 0.0828643205212
drive : 0.0803445048415
vw : 0.059776815142
experience : 0.0596999646672
oil : 0.0218191047384
jetta : 0.021360781079
new : 0.0212963759384
Topic: 2
experience : 0.264853033525
department : 0.208883165082
service : 0.196537653193
car : 0.0494502045333
drive : 0.0475934459675
vw : 0.047138998773
oil : 0.0470425096449
jetta : 0.0462860810512
new : 0.0461733523182
gti : 0.0460415559125
Topic: 3
new : 0.187549746877
jetta : 0.187491109359
vw : 0.15680929254
oil : 0.151029167026
service : 0.119606997559
department : 0.0666690300081
car : 0.0335121874904
experience : 0.0329121980306
drive : 0.0324685493515
gti : 0.0319517217588
Topic: 4
drive : 0.171233028695
oil : 0.164371738565
vw : 0.156901368882
department : 0.136646241512
jetta : 0.119685046849
service : 0.09826023064
new : 0.0643858534047
car : 0.030170872297
experience : 0.0297853234051
gti : 0.0285602957507
