Topic: 0
firefly : 0.299460240133
food : 0.266475856939
sangria : 0.173888063666
tapas : 0.0811748736939
great : 0.0674328079219
place : 0.0423998922693
good : 0.0219764673416
vegas : 0.0185849975104
time : 0.0154773207028
dates : 0.0131294798209
Topic: 1
great : 0.362721813701
sangria : 0.157305133506
vegas : 0.149606147892
food : 0.102655772972
place : 0.0748725784563
tapas : 0.0404427058264
time : 0.0400353545232
good : 0.0391805765037
dates : 0.0207725313358
firefly : 0.0124073852837
Topic: 2
place : 0.332193925496
good : 0.193203636925
time : 0.119558653417
vegas : 0.11403152469
firefly : 0.0699953661008
tapas : 0.0595262877558
food : 0.0538461530528
sangria : 0.0501891695803
dates : 0.00509239350859
great : 0.00236288947245
Topic: 3
tapas : 0.290234077567
food : 0.174494136402
time : 0.110336877172
vegas : 0.103579197767
great : 0.081135807494
dates : 0.0725209827983
place : 0.063525522745
good : 0.0531567847252
firefly : 0.0391455852554
sangria : 0.0118710280741
Topic: 4
dates : 0.444679451888
good : 0.215118356478
food : 0.111869050833
tapas : 0.0712213842702
place : 0.0435048029204
sangria : 0.0433034732283
vegas : 0.0418778825351
firefly : 0.0147641152341
great : 0.00815564428251
time : 0.00550583832989
