Topic: 0
low : 0.160561385642
clothes : 0.1241375088
forever : 0.118830255089
looking : 0.118739183988
21 : 0.118510018833
clothing : 0.113181532742
great : 0.104016898204
accessories : 0.0773292733343
cheep : 0.0646939433684
Topic: 1
clothes : 0.112391567625
clothing : 0.111928166053
cheep : 0.111564891752
21 : 0.110965776445
accessories : 0.110963011579
great : 0.110921650885
low : 0.110701069294
looking : 0.110348831245
forever : 0.110215035122
Topic: 2
clothes : 0.239022568479
cheep : 0.20834202161
great : 0.208103198589
clothing : 0.0577887611747
accessories : 0.0576110957887
low : 0.0575015224463
21 : 0.0572733334788
looking : 0.0572325924766
forever : 0.0571249059573
Topic: 3
clothing : 0.2282825793
accessories : 0.227900711682
cheep : 0.199459613457
clothes : 0.0578918051106
great : 0.0574270197877
low : 0.0573881282536
looking : 0.0572480580226
21 : 0.0572315442034
forever : 0.0571705401822
Topic: 4
cheep : 0.112257754891
clothes : 0.112002200624
clothing : 0.111870973287
great : 0.11121589048
accessories : 0.110728516201
low : 0.110631635562
21 : 0.110500184227
forever : 0.110474051673
looking : 0.110318793055
