Topic: 0
just : 0.205194614353
stromboli : 0.172082273002
vegas : 0.15864594502
food : 0.113809707346
good : 0.0880602127727
pizza : 0.0855393338808
place : 0.0784669753008
bar : 0.0411160955197
great : 0.0397753713158
like : 0.0173094714896
Topic: 1
place : 0.211242134568
great : 0.154389814927
good : 0.1480987977
stromboli : 0.128362742439
pizza : 0.104313214297
just : 0.0669072358289
bar : 0.0537028857635
vegas : 0.0505478531986
like : 0.0465483752261
food : 0.035886946052
Topic: 2
stromboli : 0.178447480595
great : 0.166261591901
food : 0.155184100765
good : 0.121138995819
like : 0.115389184323
just : 0.111919171175
place : 0.0567151436202
vegas : 0.0436954961566
pizza : 0.0412986984275
bar : 0.00995013721831
Topic: 3
stromboli : 0.2302313628
place : 0.223684097837
good : 0.170050203832
bar : 0.169783059183
food : 0.0501865364418
like : 0.0492991924016
pizza : 0.0377161764243
vegas : 0.035509413034
great : 0.0222982184695
just : 0.0112417395784
Topic: 4
like : 0.247684267891
stromboli : 0.19219993954
place : 0.156543101281
great : 0.0889536563669
pizza : 0.0747645449922
vegas : 0.0724151579776
good : 0.0632622674489
food : 0.0486511555427
just : 0.0448350422003
bar : 0.0106908667601
