Topic: 0
place : 0.299450500604
experience : 0.27828232883
like : 0.128319548419
spa : 0.0726828489366
great : 0.0676233823076
really : 0.04904524295
time : 0.0463950457361
staff : 0.0200208898363
massage : 0.019179462262
services : 0.0190007501181
Topic: 1
massage : 0.312642374055
great : 0.161095381848
spa : 0.140982362874
time : 0.0924410718199
experience : 0.0904295892128
staff : 0.0611912493919
services : 0.0426100537472
place : 0.0411365073843
like : 0.034091401899
really : 0.0233800077677
Topic: 2
services : 0.184065947068
time : 0.166083534919
great : 0.157802964631
really : 0.0978879451964
like : 0.0848227273415
place : 0.0800454771769
staff : 0.0793501057221
spa : 0.0718284996848
experience : 0.0392289153487
massage : 0.0388838829112
Topic: 3
like : 0.295264782543
services : 0.225621589152
really : 0.117714141203
place : 0.0883499703917
massage : 0.0712171113338
time : 0.0699216800748
spa : 0.0674405938473
staff : 0.0222825331509
experience : 0.0213196832923
great : 0.020867915011
Topic: 4
staff : 0.302854211921
really : 0.13404791443
time : 0.0858439343021
like : 0.0823169261992
spa : 0.080166500664
experience : 0.0735644882328
place : 0.0645508288048
services : 0.0645299454153
great : 0.060084187692
massage : 0.0520410623387
