Topic: 0
place : 0.330379959133
food : 0.260621888113
delicious : 0.0803173057872
great : 0.0750315600448
ve : 0.0717291205471
order : 0.0715128597406
good : 0.046605468443
garlic : 0.0216412263799
knots : 0.0211567315606
best : 0.0210038802509
Topic: 1
great : 0.269395076622
order : 0.209731397157
knots : 0.109833343334
place : 0.0999240190323
food : 0.069680770878
delicious : 0.0610855917742
ve : 0.0550095172503
best : 0.0530660851475
good : 0.0368715485361
garlic : 0.0354026502684
Topic: 2
food : 0.311356219442
delicious : 0.157499364727
good : 0.122875473546
ve : 0.10049442748
best : 0.0980487335037
great : 0.0911289458716
place : 0.0311884541296
knots : 0.0296014702593
garlic : 0.0295376413574
order : 0.0282692696837
Topic: 3
garlic : 0.272876518929
best : 0.157162379675
knots : 0.156940082642
place : 0.116385682228
ve : 0.0913297856712
delicious : 0.0660070448481
good : 0.0381005362167
order : 0.0344040178764
food : 0.0340931301864
great : 0.0327008217275
Topic: 4
good : 0.328345936716
great : 0.210169594886
garlic : 0.127517185
knots : 0.127425317511
delicious : 0.0808471859367
place : 0.0268961941914
food : 0.0253583850259
best : 0.025139724835
order : 0.024369469657
ve : 0.0239310062414
