Topic: 0
chinese : 0.27521693353
food : 0.134603781421
just : 0.115291719976
chicken : 0.115010683597
place : 0.109658309762
sweet : 0.0759810231154
menu : 0.0619614341636
buffet : 0.0604298044785
good : 0.0264344819589
bit : 0.0254118279973
Topic: 1
place : 0.306585492463
buffet : 0.188417581204
food : 0.147157981522
just : 0.122717972229
bit : 0.0753110006201
sweet : 0.0323827192499
good : 0.0322914321315
chicken : 0.0320907271901
menu : 0.0315524550272
chinese : 0.0314926383639
Topic: 2
sweet : 0.199437656627
food : 0.196472353868
buffet : 0.14333953863
bit : 0.108843230431
good : 0.095869553275
chicken : 0.0893754160532
chinese : 0.0595693745582
just : 0.0568290904094
place : 0.0257062921502
menu : 0.0245574939991
Topic: 3
menu : 0.248639455732
sweet : 0.18558335224
buffet : 0.138599201952
good : 0.1324306547
just : 0.0898475454776
bit : 0.0665436659435
chicken : 0.0657957107722
food : 0.024490935847
place : 0.0241856019707
chinese : 0.0238838753651
Topic: 4
good : 0.26331513587
chicken : 0.170297833395
bit : 0.153007545188
place : 0.14589421759
food : 0.0940759519948
sweet : 0.0352347144419
buffet : 0.03463218235
chinese : 0.0346079629881
menu : 0.0345727690091
just : 0.0343616871732
