Topic: 0
shrimp : 0.211886483842
small : 0.201358647028
old : 0.151447819319
place : 0.116251525488
cocktail : 0.0787590939249
gate : 0.0653342112282
vegas : 0.0646279022003
hotel : 0.0576525704351
casino : 0.0299937200658
room : 0.0226880264679
Topic: 1
shrimp : 0.199057166873
cocktail : 0.173095862255
room : 0.122708339675
hotel : 0.115970004335
vegas : 0.111132336355
old : 0.109336248477
casino : 0.0646626476736
place : 0.0511264585241
small : 0.0426698958125
gate : 0.0102410400201
Topic: 2
place : 0.269228045244
casino : 0.233586783448
vegas : 0.164750419952
room : 0.103035703145
small : 0.0687342342968
shrimp : 0.0496590070983
gate : 0.0339124458787
cocktail : 0.0325690116031
old : 0.0288549001113
hotel : 0.0156694492228
Topic: 3
casino : 0.244328690337
room : 0.166797307431
hotel : 0.166476261772
gate : 0.107963101235
cocktail : 0.090016577983
place : 0.079477690594
small : 0.064563933313
old : 0.0384787918951
vegas : 0.031846121969
shrimp : 0.0100515234715
Topic: 4
gate : 0.194289695129
shrimp : 0.159820439179
cocktail : 0.13752862172
place : 0.135934396798
hotel : 0.130938103495
vegas : 0.124591502857
old : 0.054094806523
room : 0.0413076658704
small : 0.0130470746379
casino : 0.00844769379034
