Topic: 0
service : 0.182612995172
good : 0.152738900728
place : 0.148912614582
goldie : 0.117181458592
friendly : 0.100305819966
food : 0.0979477797072
great : 0.096503161629
wings : 0.0353213625679
best : 0.0345276250808
sports : 0.0339482819759
Topic: 1
place : 0.234440291552
friendly : 0.181174581815
sports : 0.140535385665
food : 0.126068625083
great : 0.123640751506
wings : 0.0394820812148
best : 0.0390114149114
good : 0.0387897937085
service : 0.0384999464911
goldie : 0.0383571280536
Topic: 2
great : 0.241225000282
place : 0.192452978977
goldie : 0.124071777583
good : 0.114566766046
wings : 0.102682728425
food : 0.101634334033
best : 0.0311227463515
sports : 0.0309973237455
friendly : 0.0308449654368
service : 0.0304013791202
Topic: 3
great : 0.284265892392
goldie : 0.164136943591
wings : 0.1248504124
good : 0.107040874461
food : 0.0784244021139
place : 0.0635574528084
best : 0.0567229688983
service : 0.0523510610513
sports : 0.0488492147772
friendly : 0.0198007775065
Topic: 4
best : 0.181987401057
sports : 0.141762785263
food : 0.126973195968
wings : 0.115446620448
friendly : 0.0948276028055
good : 0.0918963337004
service : 0.0766114216622
place : 0.073705776361
great : 0.0693026584646
goldie : 0.0274862042709
