Topic: 0
stuff : 0.386164878384
goodwill : 0.0698751009364
items : 0.0689518005698
staff : 0.0683155407428
prices : 0.0680019355199
shape : 0.0678554288315
love : 0.0678405299041
great : 0.0678339743192
check : 0.0677740927699
50 : 0.0673867180219
Topic: 1
goodwill : 0.206268491041
prices : 0.160219332401
shape : 0.144047041426
love : 0.137662750754
50 : 0.127844093273
stuff : 0.051257246353
items : 0.0510956927733
check : 0.0506498247709
great : 0.050628505832
staff : 0.0203270213754
Topic: 2
check : 0.228161624099
great : 0.163500504205
staff : 0.151616422421
stuff : 0.0785284271381
items : 0.0780620488013
love : 0.0776178657444
50 : 0.0775736373889
goodwill : 0.074441713145
shape : 0.0352658902974
prices : 0.0352318667597
Topic: 3
staff : 0.260810607005
great : 0.259867223476
goodwill : 0.0613877440514
stuff : 0.0607154986959
items : 0.0602746994807
prices : 0.0597793128891
love : 0.0594938777034
shape : 0.0593891226671
check : 0.0592161639015
50 : 0.0590657501302
Topic: 4
items : 0.387350190918
goodwill : 0.0694775452638
stuff : 0.06852868042
prices : 0.0680527925268
great : 0.0679970008215
love : 0.0678708701921
staff : 0.0678697680706
check : 0.0678632792858
shape : 0.0677358531333
50 : 0.0672540193684
