Topic: 0
shrimp : 0.386612077095
place : 0.171328323975
food : 0.0893341837972
chinese : 0.0772583959375
ve : 0.0765214741561
good : 0.0594235417775
sum : 0.0556760333012
dim : 0.0548431772016
table : 0.017854108095
great : 0.0111486846637
Topic: 1
dim : 0.217647033888
sum : 0.206510730691
great : 0.193133649971
place : 0.107594672535
food : 0.0785684496293
good : 0.0600794370015
ve : 0.0562188292959
chinese : 0.0520203436194
shrimp : 0.015752019672
table : 0.0124748336979
Topic: 2
food : 0.221738990607
chinese : 0.201292192655
great : 0.154790750951
place : 0.106643499796
good : 0.0908232443069
dim : 0.0679754070283
sum : 0.0679641187494
ve : 0.0486526190585
table : 0.0276764579861
shrimp : 0.0124427188619
Topic: 3
good : 0.230589203288
shrimp : 0.150335851812
ve : 0.111989831418
dim : 0.103769510873
sum : 0.103385225078
food : 0.0977034937427
chinese : 0.0753031936441
table : 0.0713514876375
place : 0.0346436270959
great : 0.0209285754114
Topic: 4
table : 0.296568846384
sum : 0.199783610672
dim : 0.198890769749
place : 0.068003139586
food : 0.0608672912532
chinese : 0.0516594423229
ve : 0.0383428974759
great : 0.0367249360728
shrimp : 0.0264127091782
good : 0.0227463573064
