Topic: 0
tempe : 0.196859551181
months : 0.195815636237
ve : 0.123547650203
apartment : 0.122253116067
complex : 0.115151540108
don : 0.104628981074
staff : 0.0366694102403
management : 0.0356856847493
units : 0.0351234967202
money : 0.0342649334202
Topic: 1
staff : 0.291863679065
money : 0.169039408284
don : 0.140913673803
months : 0.118007138649
units : 0.0907789519434
management : 0.0855145381739
tempe : 0.026928326575
ve : 0.0260776784062
complex : 0.0255830905438
apartment : 0.0252935145571
Topic: 2
tempe : 0.418655954169
months : 0.203157801848
staff : 0.0489674686914
ve : 0.0480120021552
management : 0.0475795847089
don : 0.0475220179412
units : 0.0468784266175
complex : 0.0468268265137
apartment : 0.0462545327388
money : 0.0461453846164
Topic: 3
units : 0.231133727939
don : 0.199019215613
ve : 0.159659579971
apartment : 0.099613719349
money : 0.0994567597627
complex : 0.0942432956868
staff : 0.0298236428759
tempe : 0.0296852909403
months : 0.0287887454055
management : 0.0285760224568
Topic: 4
management : 0.268846623494
staff : 0.210115076096
complex : 0.161035176481
ve : 0.105412311464
apartment : 0.0910631270244
don : 0.0673744862775
tempe : 0.0247476485919
months : 0.024308538164
units : 0.0237534253393
money : 0.0233435870671
