Topic: 0
service : 0.263690320701
good : 0.208473271837
gus : 0.194927730111
ve : 0.0483617935326
place : 0.0481707397593
night : 0.0479158579483
time : 0.0478987873445
okay : 0.0475003862473
drunk : 0.0469373470182
times : 0.0461237655013
Topic: 1
time : 0.347559453119
good : 0.12554363187
ve : 0.120259361464
drunk : 0.108147468916
place : 0.0683830893188
night : 0.0519347730996
service : 0.0516531495016
gus : 0.0508187005578
times : 0.050459681339
okay : 0.0252406908141
Topic: 2
service : 0.249437742391
times : 0.206543873786
ve : 0.200305016447
place : 0.112641395443
good : 0.110311600377
gus : 0.0258612407236
time : 0.0240577949469
night : 0.0238107346333
okay : 0.0236260845949
drunk : 0.0234045166566
Topic: 3
night : 0.267574503628
good : 0.171888261263
okay : 0.157779703709
place : 0.0931869147944
drunk : 0.092707848463
ve : 0.0614324183819
service : 0.0602747332081
times : 0.0484794238892
gus : 0.0240910269215
time : 0.0225851657425
Topic: 4
gus : 0.286083130702
place : 0.219387618128
time : 0.0963953274712
okay : 0.0925590366013
ve : 0.0771331163857
drunk : 0.0629046655275
night : 0.0539848341596
times : 0.0512242288862
service : 0.047679269348
good : 0.0126487727903
