Topic: 0
food : 0.3819386556
service : 0.276046089473
like : 0.0685679921587
place : 0.0624591589021
sum : 0.0506248928176
just : 0.0476924130431
table : 0.0357440676324
dim : 0.0339889674087
restaurant : 0.0332199889145
didn : 0.00971777405059
Topic: 1
dim : 0.204933752396
sum : 0.197556762692
place : 0.184667453825
restaurant : 0.141879294301
like : 0.0698943063461
service : 0.0589978792381
food : 0.0530927623435
didn : 0.0417494456503
table : 0.0386688277056
just : 0.00855951550303
Topic: 2
like : 0.197311162893
dim : 0.165869875153
sum : 0.163312576855
food : 0.159381210306
didn : 0.158293951417
service : 0.0568287832782
table : 0.0403743579794
just : 0.0341457648308
place : 0.0125451006071
restaurant : 0.0119372166803
Topic: 3
place : 0.226706454943
didn : 0.202623520858
just : 0.201600848345
food : 0.136917511129
service : 0.0691432401556
table : 0.0647646065795
restaurant : 0.0410172172549
sum : 0.0209389285617
dim : 0.0197080131866
like : 0.0165796589871
Topic: 4
service : 0.33234504999
food : 0.19389685949
table : 0.132107864992
sum : 0.0750623199366
dim : 0.0749538649521
just : 0.066304402119
restaurant : 0.0555716996956
didn : 0.0309984117412
place : 0.0286741554339
like : 0.0100853716498
