Topic: 0
just : 0.25804325922
really : 0.140946407197
service : 0.119391507137
good : 0.105680070673
order : 0.100070693352
sashimi : 0.0974644415032
sushi : 0.0756723469603
ayce : 0.0471294797762
like : 0.0406514765546
place : 0.0149503176278
Topic: 1
place : 0.360243437797
ayce : 0.23686754683
good : 0.127543833511
sashimi : 0.0875446546901
order : 0.0592414040455
sushi : 0.0460495076011
service : 0.0212384180713
really : 0.0207648508702
just : 0.0204349927972
like : 0.0200713537864
Topic: 2
sushi : 0.41160530636
just : 0.11945031276
really : 0.101313922458
place : 0.0950553696643
ayce : 0.0883123071534
good : 0.0624196199103
service : 0.0476987632181
order : 0.0306396211658
like : 0.0295931446333
sashimi : 0.0139116326759
Topic: 3
sashimi : 0.175813137992
service : 0.15539336879
like : 0.142696517367
sushi : 0.117114613824
order : 0.11134306559
place : 0.106756878405
really : 0.0724566781004
ayce : 0.0549728389573
good : 0.0375079604975
just : 0.025944940477
Topic: 4
ayce : 0.209697430245
like : 0.151319633338
sushi : 0.142884805919
order : 0.116414617917
sashimi : 0.0934977726833
good : 0.0933055668084
place : 0.0686905619088
really : 0.0550366958982
service : 0.0352276300564
just : 0.0339252852251
