Topic: 0
told : 0.191661656107
reservation : 0.14878169889
tried : 0.123653578645
pm : 0.123575261363
property : 0.110047163508
problem : 0.10994091962
manager : 0.0670834801973
room : 0.0670048853273
service : 0.0293600431924
staff : 0.0288913131503
Topic: 1
reservation : 0.101870332087
room : 0.101310720722
told : 0.101305469358
service : 0.100595085693
manager : 0.100492968733
staff : 0.0994021355718
property : 0.0991014617506
problem : 0.0989198454604
pm : 0.0985969449839
tried : 0.0984050356409
Topic: 2
reservation : 0.102317486857
told : 0.100980503566
manager : 0.10077093266
room : 0.10073236584
service : 0.100666743492
staff : 0.0997307955525
property : 0.0991875758211
problem : 0.0986542655379
pm : 0.0985389229539
tried : 0.0984204077192
Topic: 3
service : 0.248507749893
told : 0.197917760599
staff : 0.132489887602
manager : 0.1193398099
room : 0.107905806288
reservation : 0.0396354115949
property : 0.0386893168368
problem : 0.0385699997094
tried : 0.0384910444809
pm : 0.0384532130971
Topic: 4
room : 0.195950288569
reservation : 0.174338236981
service : 0.145247565121
manager : 0.139351238291
staff : 0.0993584348491
property : 0.0888009357082
problem : 0.0663920621127
told : 0.0307553648561
pm : 0.0299113783589
tried : 0.0298944951532
