Topic: 0
pho : 0.275309213066
good : 0.262810494172
place : 0.155042291336
hue : 0.0739448620794
pork : 0.0698562543233
thai : 0.056279610994
food : 0.0306519376726
vietnamese : 0.0293789406609
mi : 0.0238289335395
banh : 0.0228974621564
Topic: 1
food : 0.278716525771
pork : 0.140715283755
place : 0.119669115393
good : 0.0959417010825
hue : 0.0746983207584
pho : 0.0720802604513
thai : 0.0652312151279
vietnamese : 0.0611330021206
mi : 0.0479319754377
banh : 0.0438826001029
Topic: 2
mi : 0.266789528647
pho : 0.20990664133
banh : 0.152518211049
vietnamese : 0.119614899452
food : 0.0724999347575
place : 0.0560666496729
thai : 0.04677987973
pork : 0.0450785796974
good : 0.0167720822493
hue : 0.013973593415
Topic: 3
vietnamese : 0.263267335478
pork : 0.181086418388
banh : 0.131929665509
good : 0.128504287447
pho : 0.0673458041041
food : 0.0574325287914
thai : 0.0513041468609
place : 0.0503817127089
mi : 0.0379174486046
hue : 0.0308306521076
Topic: 4
banh : 0.203656828017
thai : 0.162244624797
mi : 0.15531787846
place : 0.15126159881
hue : 0.118425901527
vietnamese : 0.0880262524523
pho : 0.044329113042
pork : 0.0348207581369
food : 0.0273802814364
good : 0.0145367633221
