Topic: 0
food : 0.23556851621
great : 0.155251573445
good : 0.13821149235
rice : 0.126499791626
place : 0.122683447149
soup : 0.0843045088988
service : 0.0662047649165
really : 0.0323275456614
sauce : 0.0309088668407
try : 0.00803949290333
Topic: 1
service : 0.181019771683
sauce : 0.161825106741
soup : 0.161577830584
really : 0.152370753807
good : 0.128306479549
food : 0.0838387285572
rice : 0.0631031983946
place : 0.0439968306021
great : 0.012130221494
try : 0.011831078588
Topic: 2
good : 0.182594016008
great : 0.170401087198
food : 0.150320443769
service : 0.140777489864
try : 0.109128777398
really : 0.0943786435752
sauce : 0.0683360549748
soup : 0.0286153294584
rice : 0.0277669294763
place : 0.0276812282788
Topic: 3
try : 0.404919323471
great : 0.154134479448
food : 0.0867018854998
soup : 0.0725546878204
sauce : 0.0717182881303
really : 0.0581684858992
place : 0.0581091478823
service : 0.0542058639874
good : 0.0204075510626
rice : 0.019080286799
Topic: 4
food : 0.108008709167
service : 0.103473713208
good : 0.101516934999
great : 0.101359746282
try : 0.101169677662
soup : 0.0987827107204
sauce : 0.0976642430393
place : 0.0973246398318
really : 0.0955972361933
rice : 0.0951023888969
