Topic: 0
hotel : 0.252456616709
casino : 0.185405286218
strip : 0.138011433222
stay : 0.114515297129
room : 0.112874426647
just : 0.0750528251009
place : 0.065838436198
vegas : 0.0223219686281
rooms : 0.0197793718336
like : 0.0137443383139
Topic: 1
place : 0.293613280608
room : 0.178326252307
just : 0.100658386373
strip : 0.0792679298966
hotel : 0.078544816205
like : 0.070922270323
rooms : 0.0697416579179
vegas : 0.0593607018063
stay : 0.0549565858006
casino : 0.0146081187628
Topic: 2
rooms : 0.292959761677
like : 0.167188253516
just : 0.159013892969
stay : 0.105917833164
hotel : 0.0848239769374
vegas : 0.0522622506214
room : 0.0500529358347
strip : 0.0409044807673
casino : 0.0251377106306
place : 0.0217389038828
Topic: 3
room : 0.339508950926
like : 0.159731113395
casino : 0.136195412154
stay : 0.097775859018
place : 0.0660483903867
hotel : 0.0644802512233
vegas : 0.0440226493877
rooms : 0.0362734648266
just : 0.0294631278668
strip : 0.0265007808162
Topic: 4
strip : 0.235646389572
vegas : 0.228873701599
hotel : 0.168131141882
room : 0.120587241493
stay : 0.0828187226529
rooms : 0.0443777729638
just : 0.0400656838912
casino : 0.0323726559764
like : 0.0295650414826
place : 0.0175616484882
