Topic: 0
just : 0.237584902766
burger : 0.222656358286
good : 0.173703925732
style : 0.0886181057124
animal : 0.0856062428013
fries : 0.0828711947679
place : 0.0286981510466
time : 0.0274032859481
burgers : 0.0270396445791
like : 0.0258181883603
Topic: 1
burgers : 0.289019739578
place : 0.137990129988
just : 0.137035677373
good : 0.127832539184
fries : 0.0893268940403
style : 0.070972722988
like : 0.049616093788
animal : 0.0470680597982
time : 0.0258140182047
burger : 0.0253241250579
Topic: 2
fries : 0.29701032273
burgers : 0.148828284938
burger : 0.144804874951
animal : 0.127810823968
style : 0.0855289888775
just : 0.0814703249314
like : 0.0442611778004
good : 0.0331163492504
time : 0.0245025863417
place : 0.0126662662113
Topic: 3
place : 0.281684587638
fries : 0.214675036651
like : 0.205867292601
burger : 0.107490700988
just : 0.047341776188
good : 0.0465714480198
time : 0.0287156676929
style : 0.0270697051876
animal : 0.0266927028211
burgers : 0.0138910822121
Topic: 4
time : 0.311912135378
style : 0.136342588868
animal : 0.13245733003
burger : 0.124871411816
fries : 0.100773448136
place : 0.0574660739912
burgers : 0.0448824109353
just : 0.0379096116923
good : 0.0373255254436
like : 0.0160594637113
