Topic: 0
place : 0.244194552438
like : 0.190605749898
overall : 0.130119694908
service : 0.096734995431
serve : 0.0963385548353
don : 0.0890526476071
pointed : 0.03827725405
tandoori : 0.0382708929787
check : 0.0382262422145
told : 0.0381794156398
Topic: 1
overall : 0.27587934285
place : 0.249076330561
don : 0.0600054417976
like : 0.0597929182439
tandoori : 0.0594406248096
check : 0.0592849466763
service : 0.0592805749432
told : 0.0592740587138
pointed : 0.0590543447876
serve : 0.0589114166171
Topic: 2
tandoori : 0.207111743813
check : 0.124529896699
pointed : 0.116577879687
service : 0.116398089158
told : 0.116293569449
like : 0.112330202397
place : 0.103202776644
overall : 0.0350732828608
don : 0.0345434794551
serve : 0.0339390798377
Topic: 3
overall : 0.262928856211
don : 0.261247382462
place : 0.0609816151955
like : 0.0597172441058
tandoori : 0.0594560526778
check : 0.0592518785074
told : 0.0591899833819
pointed : 0.0591437851851
service : 0.0590970624837
serve : 0.0589861397901
Topic: 4
serve : 0.140229684891
told : 0.140115200366
check : 0.139989546587
pointed : 0.139822723854
like : 0.127658336441
don : 0.127516251931
place : 0.046844372055
overall : 0.0467612383849
tandoori : 0.0455845987737
service : 0.0454780467174
