Topic: 0
diner : 0.244189665987
good : 0.186520540098
place : 0.153047149357
jerry : 0.140330200249
food : 0.0993630758443
great : 0.066011426538
breakfast : 0.0471650860792
service : 0.0275563578511
like : 0.0265491037823
chicken : 0.00926739421472
Topic: 1
place : 0.307470323406
breakfast : 0.150332573495
like : 0.143415950464
food : 0.104872208147
great : 0.101380066857
service : 0.0811792487707
diner : 0.0770246834171
chicken : 0.0162368651396
good : 0.0095077046921
jerry : 0.0085803756123
Topic: 2
chicken : 0.251300974241
good : 0.181748399812
great : 0.136447438142
place : 0.110272929603
jerry : 0.0914627054929
food : 0.0907212120958
service : 0.077207143553
breakfast : 0.0346013242278
diner : 0.0190069411162
like : 0.00723093171561
Topic: 3
good : 0.249333923051
breakfast : 0.141210785803
jerry : 0.135344800233
service : 0.116283002266
diner : 0.11237843877
food : 0.102149784226
place : 0.0392375987755
like : 0.0349888735505
chicken : 0.0346740851288
great : 0.0343987081961
Topic: 4
like : 0.257183336315
jerry : 0.184901183657
food : 0.154684247578
good : 0.129960092587
great : 0.0761386338129
service : 0.0637352049984
place : 0.0576627079913
breakfast : 0.0427819880427
diner : 0.0165271382428
chicken : 0.0164254667754
