Topic: 0
service : 0.325850213524
joe : 0.122572483738
crab : 0.122178358773
food : 0.0990055608866
great : 0.0759684045268
crabs : 0.0736260195753
stone : 0.0683296988163
really : 0.0495906489046
good : 0.035590679916
just : 0.0272879313395
Topic: 1
good : 0.459690262626
service : 0.145583712326
crab : 0.104367971909
really : 0.08588450669
stone : 0.0687872110934
just : 0.0508508149522
great : 0.0281518595951
joe : 0.0226837512889
food : 0.0218611090292
crabs : 0.0121388004903
Topic: 2
joe : 0.356032833094
just : 0.209011479687
stone : 0.0904990491983
really : 0.075461976172
good : 0.0737159012937
crab : 0.0672035950381
great : 0.0481365493562
crabs : 0.0411717094609
food : 0.0314561697604
service : 0.00731073693993
Topic: 3
crab : 0.352598443686
stone : 0.182557230817
great : 0.168191718702
really : 0.0612546717856
crabs : 0.0577446143883
food : 0.0472890877742
good : 0.0416378690338
just : 0.0378347963402
service : 0.0358935535411
joe : 0.0149980139322
Topic: 4
food : 0.201221928661
crabs : 0.170055603488
just : 0.126341707718
stone : 0.125959388661
really : 0.108304022642
good : 0.0732329068791
great : 0.0705416592625
service : 0.0538996504478
crab : 0.0417659352614
joe : 0.0286771969793
