Topic: 0
good : 0.269384062896
place : 0.260933712827
food : 0.139842161292
korean : 0.139255346854
waitress : 0.0828540821147
bbq : 0.0227664805538
just : 0.0213333471117
beef : 0.021298931816
grill : 0.021247811418
like : 0.0210840631163
Topic: 1
bbq : 0.356240494989
korean : 0.312604337207
beef : 0.0861289068948
like : 0.0800942909441
grill : 0.0550280945331
place : 0.0402873408133
just : 0.0300522286202
good : 0.0137043478602
food : 0.0130211961994
waitress : 0.0128387619383
Topic: 2
waitress : 0.154068440473
food : 0.149299139416
grill : 0.132285926314
korean : 0.128664283405
good : 0.119197910476
like : 0.0973857074528
just : 0.081524312376
bbq : 0.0737137749239
beef : 0.0348483419136
place : 0.0290121632502
Topic: 3
beef : 0.177420368563
good : 0.161308482806
food : 0.151230322679
like : 0.108203462431
grill : 0.107730135127
just : 0.0998807931099
korean : 0.0817047448349
bbq : 0.0389998238683
place : 0.0369068889703
waitress : 0.0366149776105
Topic: 4
just : 0.299737064048
place : 0.161445531856
good : 0.119235378611
food : 0.0976391336121
beef : 0.0726231965082
grill : 0.0699907169328
bbq : 0.0623914676621
korean : 0.0598844372822
waitress : 0.0286839450259
like : 0.0283691284617
