Topic: 0
dishes : 0.282394790225
spicy : 0.217090729271
sauce : 0.0712502427636
chinese : 0.0652028927537
dish : 0.063808313891
really : 0.06086476675
food : 0.0607106609156
menu : 0.0605739949345
place : 0.0590825205909
authentic : 0.0590210879051
Topic: 1
chinese : 0.235050294289
dish : 0.12746628959
place : 0.106289020451
food : 0.101513534773
spicy : 0.0850091784356
menu : 0.0787284875032
sauce : 0.0719183617884
really : 0.0701735733113
authentic : 0.0682936741469
dishes : 0.0555575857106
Topic: 2
dish : 0.229486538197
place : 0.175351452909
really : 0.132924949396
menu : 0.116129183944
chinese : 0.0886069101059
sauce : 0.0708029480562
food : 0.0591495898035
dishes : 0.0500434334597
authentic : 0.0397486042636
spicy : 0.0377563898651
Topic: 3
sauce : 0.180009070546
food : 0.164466682205
authentic : 0.157009236197
chinese : 0.147213358905
really : 0.0711305699518
spicy : 0.0711132519455
dish : 0.0677930908677
dishes : 0.0625833452229
menu : 0.0610930029603
place : 0.0175883911997
Topic: 4
sauce : 0.354488646501
chinese : 0.0975735385738
dishes : 0.0973121626153
dish : 0.0904520823183
spicy : 0.0881564723763
menu : 0.0801012601257
food : 0.079137810068
really : 0.0540737488219
authentic : 0.0455423043509
place : 0.0131619742488
