Topic: 0
place : 0.218249414362
salvadorian : 0.153030586689
love : 0.133454192384
location : 0.114927260492
inside : 0.114632064911
authentic : 0.0928043161437
food : 0.079584211806
good : 0.0314193534554
delicious : 0.0311804288111
time : 0.0307181709465
Topic: 1
delicious : 0.339031513327
good : 0.218089039367
inside : 0.130145609262
love : 0.0452754338774
authentic : 0.0449956233812
food : 0.0447892579266
location : 0.0447507515421
time : 0.044649379166
place : 0.0442769409984
salvadorian : 0.0439964511521
Topic: 2
authentic : 0.202816121214
time : 0.160500151024
love : 0.155042982617
location : 0.154629351875
food : 0.148124352294
good : 0.0367700697283
delicious : 0.0360638657424
inside : 0.035440324012
place : 0.0354244527359
salvadorian : 0.0351883287579
Topic: 3
good : 0.336040292643
location : 0.142508772784
time : 0.14209156358
food : 0.131741974116
love : 0.041713608605
delicious : 0.0416329556291
authentic : 0.0412948862246
place : 0.0410529521825
salvadorian : 0.0409841853166
inside : 0.0409388089191
Topic: 4
time : 0.166115939785
love : 0.165861466764
salvadorian : 0.113460633868
delicious : 0.106812301265
place : 0.105547827648
inside : 0.105314661338
food : 0.0990730878721
good : 0.0464983085575
location : 0.0457663136382
authentic : 0.0455494592641
