Topic: 0
location : 0.180652371477
decent : 0.168545932892
regular : 0.159722710774
think : 0.145464490037
solid : 0.145261684739
town : 0.0409162617207
actually : 0.0404335354262
food : 0.0401672299003
overall : 0.0394694564921
time : 0.0393663265405
Topic: 1
town : 0.294012048047
decent : 0.293856625198
actually : 0.0527512953279
location : 0.0517564454381
regular : 0.0515933668641
food : 0.0515585846523
think : 0.0512665063372
solid : 0.051137869519
overall : 0.0510949916764
time : 0.0509722669397
Topic: 2
regular : 0.224788603506
time : 0.132381254914
location : 0.122894207102
think : 0.122794700025
solid : 0.122427443971
food : 0.114715726324
decent : 0.0411109607546
actually : 0.0400108438795
town : 0.0396501424201
overall : 0.0392261171056
Topic: 3
town : 0.282846449206
food : 0.236960879358
decent : 0.0620742286349
regular : 0.0607902677212
actually : 0.0607720826947
think : 0.0596980854076
location : 0.0596390933797
solid : 0.0592860861868
overall : 0.0591114653077
time : 0.0588213621029
Topic: 4
actually : 0.229468596623
overall : 0.164287683551
decent : 0.137095005715
food : 0.113396375178
think : 0.0896338745367
solid : 0.0828223619943
time : 0.0696139757369
location : 0.0645451904567
town : 0.0248112577639
regular : 0.024325678445
