Topic: 0
good : 0.209777912867
los : 0.143176109326
dos : 0.141563019734
mexican : 0.134835390246
food : 0.0982353685476
hot : 0.0896374938411
salsa : 0.0822555635566
place : 0.0468899082092
like : 0.0332668528065
spicy : 0.0203623808658
Topic: 1
good : 0.243170024051
mexican : 0.209272929624
place : 0.194923965309
food : 0.104473407065
hot : 0.0906011227137
spicy : 0.0669557293445
salsa : 0.0262061447879
dos : 0.0242097007087
like : 0.0241262353092
los : 0.0160607410866
Topic: 2
salsa : 0.207754973323
hot : 0.173265923246
food : 0.137641042271
spicy : 0.136615593841
place : 0.12178645305
mexican : 0.0780846775546
like : 0.0516210939334
good : 0.0498011277084
los : 0.0233297116815
dos : 0.0200994033913
Topic: 3
food : 0.334247891643
like : 0.230855675572
good : 0.0927588928685
hot : 0.0656631400798
mexican : 0.0630282489818
spicy : 0.0466647928241
place : 0.0463333384581
los : 0.0449014553487
dos : 0.0443726555446
salsa : 0.0311739086789
Topic: 4
spicy : 0.214303016857
food : 0.159273674115
like : 0.148447851745
dos : 0.13759431344
los : 0.112630516866
mexican : 0.0738788160577
hot : 0.0530082247231
good : 0.0383128282084
place : 0.0329380193412
salsa : 0.0296127386454
