Topic: 0
area : 0.26865932289
museum : 0.112330561258
swim : 0.110620466014
adult : 0.105612760991
floor : 0.102016201132
just : 0.0858345414501
kids : 0.0766129433321
garden : 0.0685978937848
place : 0.0360738864254
like : 0.0336414227233
Topic: 1
place : 0.188537821807
kids : 0.187118396063
just : 0.181711204008
floor : 0.18077169738
museum : 0.0457124708928
like : 0.0439933540083
area : 0.0437755034178
garden : 0.0432032300539
swim : 0.0425972095819
adult : 0.0425791127879
Topic: 2
place : 0.320361586335
just : 0.250108367755
kids : 0.087198401113
adult : 0.0838651397585
like : 0.0812687101203
museum : 0.0739760123938
area : 0.0264922344479
floor : 0.0260072851273
garden : 0.0256289326266
swim : 0.0250933303224
Topic: 3
museum : 0.319808358093
floor : 0.173267792176
adult : 0.14722116662
swim : 0.11375588331
area : 0.10039807206
like : 0.0673365913265
just : 0.0203446678624
place : 0.0196176664848
kids : 0.0192028869937
garden : 0.0190469150731
Topic: 4
like : 0.253908915104
garden : 0.210353827828
just : 0.160967682724
kids : 0.120282477295
floor : 0.0519697784014
area : 0.0491881683439
swim : 0.046444039009
adult : 0.0451704174449
museum : 0.0418788620098
place : 0.0198358318395
