Topic: 0
like : 0.346156193542
menu : 0.134102529345
place : 0.120167710255
food : 0.115448666565
good : 0.0696221322014
wait : 0.0685425185003
table : 0.0630010535558
italian : 0.0551706854469
little : 0.0139347973055
pasta : 0.0138537132829
Topic: 1
pasta : 0.199729509535
good : 0.170356944504
italian : 0.110541702381
table : 0.103339516105
like : 0.0967067278238
little : 0.0957735597393
menu : 0.0891691763194
food : 0.0572068247682
wait : 0.056880571354
place : 0.0202954674698
Topic: 2
food : 0.307450983411
good : 0.215713834568
place : 0.131705101527
little : 0.103371116941
wait : 0.0961691971161
italian : 0.0955602574144
like : 0.0129552901353
table : 0.0128119957353
pasta : 0.0121420823198
menu : 0.0121201408317
Topic: 3
menu : 0.16900047608
food : 0.1585651126
wait : 0.149528442447
little : 0.124930297745
italian : 0.10595418914
good : 0.105195443333
table : 0.0977297079061
pasta : 0.0516206329651
like : 0.0194027141341
place : 0.0180729836494
Topic: 4
table : 0.244082942068
food : 0.225347653162
place : 0.105602357697
italian : 0.104473533245
pasta : 0.100372431314
like : 0.0944608406169
little : 0.0560335143719
good : 0.0386303625208
wait : 0.0156150222522
menu : 0.0153813427516
