Topic: 0
food : 0.237228031248
dinner : 0.20556869089
service : 0.14594411656
like : 0.142277604704
wine : 0.0951413318907
vegas : 0.0464000320054
lake : 0.0423504744033
place : 0.0333177212553
restaurant : 0.0316439456514
great : 0.0201280513921
Topic: 1
place : 0.241551456558
lake : 0.234686303025
great : 0.148441439053
restaurant : 0.0757771231371
like : 0.0695470854797
vegas : 0.0685149250104
dinner : 0.0616060103603
wine : 0.0460584099799
food : 0.0344655967589
service : 0.0193516506375
Topic: 2
restaurant : 0.33716530162
wine : 0.114204287746
dinner : 0.101565419609
food : 0.0916389014838
place : 0.0889551337457
service : 0.0884447111163
vegas : 0.0580042109424
like : 0.0461598927395
great : 0.0379358473628
lake : 0.0359262936344
Topic: 3
wine : 0.411111115471
great : 0.179534211913
restaurant : 0.0874425249373
service : 0.0862692025135
lake : 0.0852828187996
food : 0.0431819475617
dinner : 0.0368533441072
vegas : 0.0319569735445
like : 0.0277551475731
place : 0.0106127135794
Topic: 4
vegas : 0.242686564577
place : 0.128004501811
great : 0.122257857108
wine : 0.117582564746
food : 0.0911044028317
restaurant : 0.080304839949
like : 0.0779854853521
lake : 0.0665212325829
dinner : 0.0499885384382
service : 0.0235640126041
