Topic: 0
room : 0.282599486954
good : 0.203280226437
vegas : 0.176791679861
price : 0.112207956073
just : 0.0393517524071
stay : 0.0381249184035
clean : 0.0371785647534
hotel : 0.0368998035205
place : 0.0367944631774
night : 0.0367711484129
Topic: 1
night : 0.323654613371
price : 0.16474525486
room : 0.116101310541
place : 0.0956155051661
clean : 0.0866488410773
just : 0.0772205537146
stay : 0.0646621759799
good : 0.0242911244292
hotel : 0.0235471301546
vegas : 0.023513490707
Topic: 2
just : 0.297221136998
place : 0.157247175594
stay : 0.11946391687
vegas : 0.114358523841
room : 0.109088561995
good : 0.0700472273185
hotel : 0.0426067188829
price : 0.0392247705077
clean : 0.0387575753491
night : 0.0119843926436
Topic: 3
room : 0.32589531187
hotel : 0.175391511636
just : 0.0929796014669
clean : 0.0896497055847
place : 0.0776777188291
good : 0.0704780422289
price : 0.0627429495818
vegas : 0.0456089940619
stay : 0.0361498477789
night : 0.0234263169619
Topic: 4
stay : 0.167442857932
good : 0.15687734546
clean : 0.127664509179
vegas : 0.116801655619
night : 0.0931488337222
price : 0.0887126281547
hotel : 0.0834858933453
place : 0.0791887971842
room : 0.0673165723192
just : 0.0193609070842
