Topic: 0
service : 0.230591594732
good : 0.16461950656
great : 0.157832214412
food : 0.130921792465
really : 0.128262154091
thai : 0.0913308909292
curry : 0.0391404843871
stars : 0.033957869655
rice : 0.0117909012964
place : 0.0115525914724
Topic: 1
thai : 0.571761073631
good : 0.123843772691
food : 0.120300971389
place : 0.0661776541502
really : 0.0379167360572
great : 0.0282685636621
rice : 0.0156740234235
stars : 0.0140920029057
curry : 0.0119070432261
service : 0.010058158865
Topic: 2
stars : 0.545934480202
really : 0.133542201856
place : 0.111580216465
curry : 0.0623989233219
thai : 0.0407166339737
food : 0.0318910221126
good : 0.0303617242684
great : 0.022997088009
rice : 0.0103821749003
service : 0.0101955348912
Topic: 3
good : 0.305997405734
rice : 0.212209384415
thai : 0.128819421435
service : 0.0736717039114
food : 0.072618956198
place : 0.0622497303808
great : 0.0617626844378
really : 0.0442372249868
curry : 0.0276183871157
stars : 0.0108151013851
Topic: 4
curry : 0.28583635595
stars : 0.17114725358
food : 0.162258790778
thai : 0.0846837389751
good : 0.0760065774824
place : 0.063525244853
great : 0.0568804089151
rice : 0.0549834573137
service : 0.0242600017149
really : 0.0204181704372
