Topic: 0
ordered : 0.234537682414
good : 0.176431632869
food : 0.154825163768
music : 0.099357803987
better : 0.0970603039544
like : 0.0837613692119
irish : 0.0555578261649
place : 0.0418803897916
just : 0.0410502334151
pub : 0.0155375944237
Topic: 1
just : 0.169291233953
irish : 0.163003625047
place : 0.159410976817
music : 0.130110491569
pub : 0.106654761174
ordered : 0.0976110215293
better : 0.0598021738182
like : 0.0585783523426
good : 0.0427232729405
food : 0.0128140908101
Topic: 2
irish : 0.208013208003
pub : 0.18872071531
place : 0.151497254546
just : 0.119090737535
ordered : 0.0909628383478
good : 0.0680894268469
music : 0.0662883819433
food : 0.0564672758496
better : 0.0373147571436
like : 0.013555404475
Topic: 3
irish : 0.239948460555
good : 0.207844897231
food : 0.183871293337
place : 0.141032476507
music : 0.0651490527639
just : 0.0556013477622
like : 0.0369025348829
ordered : 0.0272680219309
pub : 0.0266201408345
better : 0.0157617741949
Topic: 4
like : 0.325233906999
better : 0.20013898867
just : 0.122290196784
food : 0.0928542949321
good : 0.0677020136398
place : 0.0664114546776
ordered : 0.0406457744665
irish : 0.0371554719887
pub : 0.0361189645673
music : 0.0114489332743
