Topic: 0
place : 0.285941317046
like : 0.257297796831
food : 0.160143880839
just : 0.0575660082896
vegas : 0.0499204361515
dim : 0.048353013254
sum : 0.0388106428544
good : 0.0356449948231
time : 0.0344918757214
chinese : 0.0318300341896
Topic: 1
good : 0.350739195886
chinese : 0.144299993079
just : 0.116877185878
vegas : 0.0962116064348
sum : 0.0783988881657
dim : 0.0778601729735
food : 0.0563500044603
place : 0.0500864747724
time : 0.0164567286357
like : 0.0127197497152
Topic: 2
dim : 0.255280013696
sum : 0.25087474801
time : 0.150349772865
food : 0.10029056659
good : 0.0804594766744
place : 0.0583203155901
chinese : 0.0531609522297
like : 0.0224410867794
vegas : 0.0170200562441
just : 0.0118030113212
Topic: 3
sum : 0.235340285092
dim : 0.233812869925
just : 0.112283227366
vegas : 0.0905597060516
like : 0.079322207401
place : 0.0666983375948
chinese : 0.0631302741898
food : 0.0564677488774
time : 0.0389850313775
good : 0.0234003121255
Topic: 4
food : 0.283489301831
sum : 0.175913121785
dim : 0.171950437076
place : 0.0981316568242
just : 0.0863219539674
good : 0.0679453486412
vegas : 0.0373897423727
chinese : 0.031420649562
like : 0.0246305366632
time : 0.0228072512774
