Topic: 0
good : 0.175860466541
place : 0.168386703078
pork : 0.14966016528
grilled : 0.14196676135
sandwich : 0.125520690896
pho : 0.0925274176613
best : 0.0613357560324
sandwiches : 0.0524244459897
vietnamese : 0.0234425216467
great : 0.00887507152449
Topic: 1
pho : 0.29893266375
sandwich : 0.138409290495
place : 0.11796419742
great : 0.0766297842696
grilled : 0.0764318754936
vietnamese : 0.0752756539354
sandwiches : 0.0742921402043
good : 0.0498867633098
pork : 0.0470858534608
best : 0.0450917776611
Topic: 2
sandwiches : 0.290557654113
best : 0.181449151765
pork : 0.127657533817
great : 0.0884720157255
place : 0.0878004650317
vietnamese : 0.0697981412216
grilled : 0.0525997459243
sandwich : 0.0462970299468
good : 0.0388391950355
pho : 0.0165290674193
Topic: 3
vietnamese : 0.220596064757
place : 0.15674938405
pork : 0.154208523771
great : 0.137967482855
pho : 0.105406618513
sandwich : 0.0897500968526
good : 0.0503162208693
best : 0.0446571001742
sandwiches : 0.020727070775
grilled : 0.0196214373829
Topic: 4
great : 0.231473892783
best : 0.231069431114
sandwiches : 0.204255443573
pho : 0.128045119707
place : 0.0368837621737
sandwich : 0.0352580840204
pork : 0.0344147316044
grilled : 0.0331340444276
good : 0.0329184339019
vietnamese : 0.0325470566955
