Topic: 0
room : 0.302139418884
good : 0.196072744289
service : 0.13106977218
nice : 0.0832092616424
resort : 0.072003486799
pool : 0.0708947739293
hotel : 0.0459394774235
rooms : 0.0413817189421
great : 0.035907082669
really : 0.0213822632419
Topic: 1
room : 0.199429783511
service : 0.18728459049
great : 0.133692231609
good : 0.130494137827
resort : 0.0941456653134
hotel : 0.088501946596
rooms : 0.0630072183188
nice : 0.0458872833951
pool : 0.0322291788574
really : 0.025327964082
Topic: 2
great : 0.267142971004
rooms : 0.211390996526
pool : 0.136523264424
really : 0.092619124938
good : 0.0779072594929
nice : 0.0735573227011
room : 0.0465907829298
hotel : 0.0327697343742
service : 0.0316990055915
resort : 0.0297995380179
Topic: 3
resort : 0.224288042758
pool : 0.213782698939
hotel : 0.20456420771
nice : 0.109033409472
really : 0.0971617144223
great : 0.076734508724
room : 0.0319011170156
service : 0.0190417438207
good : 0.0124558456927
rooms : 0.0110367114457
Topic: 4
nice : 0.203773117005
hotel : 0.188543446093
really : 0.175267861501
rooms : 0.109198129761
room : 0.103382822128
good : 0.0782561302262
service : 0.0634529137435
pool : 0.0553133265039
resort : 0.0158919385725
great : 0.00692031446672
